State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
Kerala,Kottayam,2012,Whole Year,Coconut,84539.7,874575.1
Karnataka,Bengaluru Rural,2017,Kharif,Jowar,9319.7,8259.6
Rajasthan,Kota,2003,Rabi,Mustard,44663.8,67522.8
Haryana,Karnal,2005,Kharif,Bajra,76145.2,83443.2
Tamil Nadu,Thanjavur,2003,Kharif,Groundnut,8103.9,10953.3
Madhya Pradesh,Indore,2013,Kharif,Soybean,38077.1,58153.6
Haryana,Rohtak,2019,Rabi,Wheat,25415.9,90232.6
Uttar Pradesh,Varanasi,2019,Rabi,Mustard,31271.1,
Andhra Pradesh,Chittoor,1998,Kharif,Tobacco,86290.8,133775.6
Gujarat,Ahmedabad,2002,Kharif,Groundnut,23811.4,28770.3
West Bengal,Murshidabad,2019,Autumn,Rice,13279.1,46098.1
Rajasthan,Kota,2005,Rabi,Mustard,46090.1,61876.1
Karnataka,Ballari,2020,Kharif,Groundnut,14967.7,26918.1
Andhra Pradesh,Krishna,2020,Kharif,Maize,37093.5,95497.7
Karnataka,Belagavi,2021,Kharif,Sunflower,39965.2,25434.9
Tamil Nadu,Thanjavur,2003,Rabi,Groundnut,6627.4,9412.3
Maharashtra,Kolhapur,2008, Whole Year ,Sugarcane,21208.9,1599988.1
Karnataka,Bengaluru Rural,2001,Rabi,Jowar,15500.9,15230.3
Tamil Nadu,Thanjavur,2011,Whole Year,Coconut,48110.9,413332.0
Gujarat,Rajkot,2000,Kharif,Onion,12472.4,226860.0
Maharashtra,Aurangabad,2017,Whole Year,Banana,41099.8,1810324.8
Rajasthan,Bikaner,2013,Rabi,Barley,19214.1,48909.0
Uttar Pradesh,Meerut,2003,Rabi,Gram,17362.1,18467.1
Bihar,Gaya,1999,Kharif,Rice,24658.4,56974.2
Maharashtra,Pune,2004,Kharif,Soybean,79092.5,77387.6
Odisha,Cuttack,1997,Kharif,Rice,16086.1,38485.1
Karnataka,Ballari,2001,Rabi,Maize,23615.7,60311.8
Odisha,Sambalpur,2010,Autumn,Rice,8007.0,23881.7
Rajasthan,Kota,2017,Rabi,Barley,20245.8,49800.2
Bihar,Patna,2008,Winter,Rice,20169.8,60083.0
Kerala,Thrissur,2021,Whole Year,Coconut,87658.2,998444.9
Assam,Guwahati,2008,Winter,Rice,16830.4,42362.9
Karnataka,Ballari,2013,Whole Year,Coconut,74909.1,701418.6
Tamil Nadu,Coimbatore,1999,Whole Year,Banana,24188.0,924307.2
Maharashtra,Nagpur,2011,Rabi,Jowar,30335.4,27453.8
Andhra Pradesh,Chittoor,2013,Kharif,Tobacco,71184.9,90903.9
Andhra Pradesh,Anantapur,2016,Autumn,Rice,4341.3,10593.0
Rajasthan,Jaipur,2003,Rabi,Gram,90237.0,102192.8
West Bengal,Nadia,1999,Rabi,Potato,41204.4,1222633.8
Andhra Pradesh,Krishna,2016,Kharif,Sunflower,8386.6,6166.7
Punjab,Ludhiana,2013,Kharif,Cotton,79899.9,38740.8
Rajasthan,Kota,1999,Kharif,Soybean,42618.3,51465.2
Karnataka,Bengaluru Rural,2018,Kharif,Tur,105709.9,111143.9
Maharashtra,Nagpur,2018,Whole Year,Banana,53995.7,2606130.8
Assam,Dibrugarh,2020,Winter,Rice,25515.5,78015.8
Uttar Pradesh,Meerut,2005,Winter,Rice,6915.6,21271.4
Tamil Nadu,Thanjavur,2013,Kharif,Groundnut,7014.0,9926.8
Bihar,Patna,2007,Kharif,Maize,38834.8,140404.3
Karnataka,Belagavi,1999,Kharif,Tobacco,55409.2,110114.5
Karnataka,Mysuru,2021,Kharif,Maize,39577.6,162851.7
Maharashtra,Pune,2000,Rabi,Onion,56289.8,1127092.6
Bihar,Gaya,1997,Winter,Rice,13111.9,40915.0
Bihar,Patna,2011,Kharif,Maize,41878.0,153006.7
Andhra Pradesh,Anantapur,2007,Rabi,Sunflower,13957.3,9680.6
Tamil Nadu,Madurai,1997,Autumn,Rice,3095.8,8978.2
Tamil Nadu,Salem,2003,Whole Year,Banana,43161.2,1618783.5
Maharashtra,Nagpur,2008,Kharif,Cotton,109508.1,60300.3
Andhra Pradesh,Guntur,2015,Kharif,Rice,,30171.2
Bihar,Bhagalpur,2011,Rabi,Maize,36459.7,88772.1
Tamil Nadu,Madurai,2009,Kharif,Rice,7701.2,21661.1
Uttar Pradesh,Varanasi,2011,Whole Year,Sugarcane,83911.2,6214718.4
Odisha,Puri,2019,Kharif,Jute,64673.0,129071.4
Uttar Pradesh,Kanpur,1998,Kharif,Bajra,31916.2,40180.6
Karnataka,Ballari,2011,Kharif,Sunflower,34758.5,25757.3
Maharashtra,Aurangabad,2004,Kharif,Cotton,71334.2,28657.6
Maharashtra,Nagpur,2002,Kharif,Tur,34033.2,22726.0
Tamil Nadu,Madurai,2015,Winter,Rice,5485.8,12519.8
Maharashtra,Aurangabad,1998,Kharif,Soybean,74266.0,73763.1
Odisha,Cuttack,2018,Kharif,Jute,57706.7,123538.1
Gujarat,Rajkot,2005,Kharif,Bajra,23194.3,28444.6
Madhya Pradesh,Gwalior,2004,Rabi,Maize,35274.0,112370.7
Maharashtra,Pune,2002,Whole Year,Banana,38114.7,1040052.6
Odisha,Cuttack,2014,Autumn,Rice,8757.0,19915.3
Madhya Pradesh,Bhopal,2008,Rabi,Maize,23677.3,67031.8
Odisha,Puri,2015,Autumn,Rice,8583.9,18863.1
Andhra Pradesh,Guntur,1997,Autumn,Rice,4791.8,12021.8
Assam,Silchar,2017,Winter,Rice,16293.3,45724.5
Odisha,Balasore,2000,Kharif,Jute,52304.2,114306.1
Uttar Pradesh,Kanpur,1999,Kharif,Bajra,36285.9,43764.0
Karnataka,Bengaluru Rural,2015,Rabi,Onion,32309.5,592120.0
Andhra Pradesh,Krishna,2003,Kharif,Rice,11265.2,
Haryana,Panipat,2008,Kharif,Bajra,60308.9,81958.9
Karnataka,Bengaluru Rural,1999,Kharif,Maize,31022.7,94424.2
Bihar,Gaya,1999, Kharif ,Maize,30322.9,93566.6
Karnataka,Mysuru,2015,Kharif,Sunflower,29948.5,18008.3
Andhra Pradesh,Chittoor,2005,Rabi,Maize,38242.2,126197.6
Andhra Pradesh,Anantapur,2013,Rabi,Sunflower,10735.9,9122.2
Gujarat,Rajkot,2001,Kharif,Groundnut,23622.5,29970.7
Punjab,Jalandhar,2012,Kharif,Rice,15052.5,47306.2
Madhya Pradesh,Bhopal,2012,Rabi,Wheat,123297.6,558660.0
Maharashtra,Aurangabad,2008,Kharif,Onion,66810.4,1160850.4
Maharashtra,Kolhapur,2018,Kharif,Soybean,131144.3,212052.9
Punjab,Jalandhar,1997,Autumn,Rice,6698.7,17000.5
Karnataka,Bengaluru Rural,2014,Kharif,Tobacco,58665.8,80811.1
Karnataka,Belagavi,2018,Kharif,Tobacco,51314.5,67373.6
Assam,Dibrugarh,2006,Kharif,Jute,57383.1,141862.5
Andhra Pradesh,Chittoor,2007,Rabi,Groundnut,13627.5,20766.2
Gujarat,Surat,2008,Kharif,Tobacco,40631.9,59380.6
Haryana,Panipat,2004,Rabi,Mustard,71806.4,100306.4
Karnataka,Mysuru,2007,Whole Year,Sugarcane,63419.6,4220048.8
Rajasthan,Jaipur,2008,Rabi,Gram,53611.9,54397.2
Uttar Pradesh,Lucknow,2001,Rabi,Barley,55376.4,128756.2
Karnataka,Mysuru,2018,Kharif,Maize,33128.7,114579.3
Maharashtra,Aurangabad,2019,Rabi,Onion,79133.6,2487568.3
Karnataka,Ballari,2000,Rabi,Groundnut,11608.2,16835.8
Punjab,Patiala,2020,Autumn,Rice,5407.9,14511.5
Madhya Pradesh,Jabalpur,2008,Kharif,Maize,26717.5,75744.0
Haryana,Karnal,1999,Rabi,Mustard,69930.9,92878.3
Bihar,Patna,2019,Kharif,Maize,28289.8,101457.2
Gujarat,Ahmedabad,2001,Rabi,Groundnut,25059.9,27855.1
Bihar,Muzaffarpur,2019,Rabi,Potato,60606.7,1845828.6
Uttar Pradesh,Lucknow,2001,Kharif,Tur,31654.4,26099.1
Punjab,Jalandhar,2012,Rabi,Wheat,54631.3,225669.2
Uttar Pradesh,Kanpur,2017,Kharif,Rice,21548.8,
Maharashtra,Pune,2000,Rabi,Onion,56289.8,1127092.6
Karnataka,Ballari,2001,Kharif,Maize,33708.1,93238.1
Odisha,Balasore,2009,Autumn,Rice,12992.1,31776.8
Rajasthan,Kota,2000,Rabi,Gram,109285.2,106399.3
Rajasthan,Bikaner,2020,Kharif,Soybean,83586.9,149483.6
Kerala,Kottayam,2015,Whole Year,Coconut,88054.1,810724.6
Uttar Pradesh,Varanasi,1998,Rabi,Mustard,26779.8,39263.1
Gujarat,Ahmedabad,2000,Kharif,Tobacco,37414.3,64204.9
Tamil Nadu,Thanjavur,2010,Kharif,Groundnut,6765.6,12257.3
Madhya Pradesh,Bhopal,2018,Kharif,Soybean,31191.5,56971.4
Gujarat,Surat,2014,Rabi,Groundnut,39375.0,52253.8
Rajasthan,Kota,2014,Rabi,Wheat,82992.6,293516.7
Maharashtra,Kolhapur,2005, Rabi ,Jowar,38201.2,38753.7
Madhya Pradesh,Gwalior,2002,Rabi,Maize,29184.1,77426.9
Uttar Pradesh,Kanpur,2000,Rabi,Mustard,27623.6,34920.1
West Bengal,Murshidabad,2008,Winter,Rice,17608.8,41919.5
Assam,Dibrugarh,1999,Autumn,Rice,12925.0,37436.0
Karnataka,Belagavi,2009, Rabi ,Maize,20190.6,59236.6
Karnataka,Bengaluru Rural,2016,Whole Year,Sugarcane,95699.6,7650159.2
Karnataka,Ballari,2013,Rabi,Onion,33062.9,716110.9
Andhra Pradesh,Krishna,1999,Kharif,Cotton,59753.3,31232.4
Uttar Pradesh,Meerut,2021,Kharif,Bajra,36467.9,46624.6
Maharashtra,Nashik,2011,Kharif,Soybean,72291.5,94852.4
Madhya Pradesh,Indore,2016,Kharif,Maize,46885.9,192557.0
Haryana,Rohtak,2013,Rabi,Wheat,26091.2,101414.9
Haryana,Hisar,2018,Kharif,Bajra,66249.7,86550.0
Uttar Pradesh,Kanpur,2016,Rabi,Wheat,93933.8,348773.3
Karnataka,Ballari,2010,Kharif,Tobacco,73206.6,114116.4
Karnataka,Mysuru,2000,Whole Year,Coconut,46182.5,358843.4
Gujarat,Rajkot,2011,Kharif,Tobacco,72199.1,124377.2
Assam,Dibrugarh,2018, Winter ,Rice,14451.8,46991.9
Andhra Pradesh,Chittoor,2017,Whole Year,Banana,78085.4,3675291.4
Tamil Nadu,Coimbatore,2014,Whole Year,Coconut,45602.1,339865.6
Karnataka,Mysuru,2003,Rabi,Maize,27230.0,67735.5
Bihar,Bhagalpur,1997,Kharif,Rice,17761.7,42016.8
Tamil Nadu,Salem,2006,Winter,Rice,5334.3,14970.3
Punjab,Patiala,2011,Kharif,Rice,12307.4,38764.9
Madhya Pradesh,Bhopal,2007,Kharif,Jowar,32094.0,29719.0
Karnataka,Ballari,2017,Rabi,Onion,27208.7,796016.7
Uttar Pradesh,Meerut,2001,Rabi,Potato,33041.3,910559.8
Maharashtra,Nagpur,2009,Rabi,Jowar,30800.4,27240.6
Karnataka,Ballari,1999,Kharif,Jowar,10746.7,10664.9
Karnataka,Mysuru,2013,Rabi,Sunflower,32535.9,28830.6
Tamil Nadu,Thanjavur,1997,Rabi,Groundnut,9120.0,13835.8
Madhya Pradesh,Gwalior,2013,Kharif,Maize,31875.1,111413.6
Tamil Nadu,Madurai,2017,Whole Year,Banana,47766.8,2297540.0
Rajasthan,Jodhpur,2010,Rabi,Barley,16610.1,43268.1
Karnataka,Mysuru,2016,Kharif,Jowar,9020.1,7474.7
Uttar Pradesh,Meerut,2018,Kharif,Rice,,65379.5
Rajasthan,Jodhpur,1997,Rabi,Gram,78654.0,69785.8
Rajasthan,Jodhpur,2018,Kharif,Soybean,71836.8,116792.1
Gujarat,Surat,1998,Kharif,Groundnut,24798.8,38565.0
Punjab,Patiala,2004,Rabi,Wheat,49745.8,146753.9
Maharashtra,Nashik,2008,Rabi,Jowar,34243.0,32558.1
Maharashtra,Nagpur,2014, Kharif ,Cotton,86819.9,44536.2
Madhya Pradesh,Jabalpur,2013,Rabi,Gram,97401.7,114441.4
Gujarat,Rajkot,2014,Kharif,Tobacco,41250.5,65621.7
Maharashtra,Nagpur,2019,Rabi,Jowar,29303.1,23986.0
Karnataka,Ballari,2017,Rabi,Groundnut,17626.6,23713.2
Andhra Pradesh,Anantapur,2005, Autumn ,Rice,5720.9,16816.6
Haryana,Rohtak,2007,Rabi,Wheat,36055.0,124542.4
Gujarat,Vadodara,2005,Kharif,Onion,11979.5,264406.6
Assam,Silchar,2016,Kharif,Rice,28487.3,84236.8
Uttar Pradesh,Meerut,2020,Rabi,Mustard,23687.7,40187.9
Karnataka,Ballari,2005,Whole Year,Coconut,85642.0,873963.3
Punjab,Amritsar,2008,Autumn,Rice,3995.8,13053.0
Maharashtra,Nashik,2009,Kharif,Soybean,140861.6,193056.1
Andhra Pradesh,Anantapur,2017,Autumn,Rice,5196.6,14066.4
Andhra Pradesh,Guntur,1998,Autumn,Rice,4214.8,9852.0
Bihar,Muzaffarpur,2001,Rabi,Potato,52519.6,1094603.4
Madhya Pradesh,Gwalior,2000,Rabi,Barley,42732.6,122044.2
Karnataka,Belagavi,2007,Rabi,Jowar,9494.8,8089.7
Uttar Pradesh,Meerut,2010,Rabi,Potato,27441.0,894360.8
Rajasthan,Kota,1998,Rabi,Mustard,25255.6,36315.2
Uttar Pradesh,Meerut,2013,Winter,Rice,6219.1,22892.9
Assam,Dibrugarh,2011,Kharif,Jute,69699.3,135668.4
Karnataka,Ballari,1999,Rabi,Sunflower,41679.4,28686.4
Karnataka,Belagavi,2003,Rabi,Groundnut,10714.3,15706.9
Andhra Pradesh,Krishna,2015,Rabi,Groundnut,18756.7,27408.5
Gujarat,Rajkot,2005,Kharif,Bajra,23194.3,28444.6
Assam,Dibrugarh,2009,Autumn,Rice,9217.0,22229.5
Rajasthan,Jaipur,2004,Rabi,Gram,87324.4,90694.6
Madhya Pradesh,Gwalior,2007,Kharif,Maize,46737.8,145037.9
Kerala,Thrissur,2020,Whole Year,Coconut,78990.6,776494.4
Karnataka,Ballari,2010,Kharif,Tur,59863.1,51188.7
Odisha,Cuttack,2001,Kharif,Jute,44842.8,87047.5
Andhra Pradesh,Guntur,2006,Autumn,Rice,6207.0,17277.4
Bihar,Gaya,2013, Kharif ,Maize,29330.6,97684.9
Odisha,Balasore,2008,Kharif,Jute,72668.3,205743.3
Tamil Nadu,Thanjavur,2000,Whole Year,Coconut,54586.0,559907.9
Punjab,Ludhiana,2021, Kharif ,Cotton,131042.3,88165.1
Andhra Pradesh,Krishna,2007,Whole Year,Banana,97410.1,4061571.1
Odisha,Sambalpur,2011,Winter,Rice,13560.3,41354.6
Madhya Pradesh,Jabalpur,2006,Rabi,Barley,30170.3,70645.0
Karnataka,Bengaluru Rural,2018,Rabi,Jowar,14364.3,12716.7
Gujarat,Surat,2021,Rabi,Onion,,373813.1
Uttar Pradesh,Varanasi,2007,Whole Year,Sugarcane,83184.7,6256515.2
Gujarat,Rajkot,2015,Rabi,Onion,19618.9,370366.3
Bihar,Muzaffarpur,2002,Rabi,Maize,22779.4,46132.3
Karnataka,Mysuru,2013,Kharif,Groundnut,16104.4,18292.8
Karnataka,Bengaluru Rural,2005,Kharif,Tur,79273.8,80901.8
Tamil Nadu,Salem,2015,Whole Year,Banana,35110.4,1406654.2
Karnataka,Bengaluru Rural,2019,Rabi,Maize,29083.8,93973.6
Madhya Pradesh,Jabalpur,2019,Kharif,Jowar,26540.3,26026.1
Tamil Nadu,Thanjavur,2018,Autumn,Rice,2374.3,6523.1
Karnataka,Ballari,2015,Whole Year,Sugarcane,110235.2,7193003.9
Karnataka,Mysuru,2011,Kharif,Tur,61519.1,48788.7
Maharashtra,Kolhapur,2018, Kharif ,Jowar,45119.9,36065.2
Maharashtra,Nashik,2010,Kharif,Jowar,29525.8,28829.3
Uttar Pradesh,Agra,2005,Kharif,Tur,32421.2,26519.8
Gujarat,Surat,2018,Kharif,Onion,17097.3,436073.6
Karnataka,Ballari,2019,Kharif,Tur,90541.7,82210.5
Tamil Nadu,Thanjavur,2018,Kharif,Rice,7722.5,21588.7
Kerala,Kottayam,2019,Whole Year,Coconut,85514.0,704435.9
Madhya Pradesh,Jabalpur,1998,Rabi,Wheat,99043.1,287284.7
Andhra Pradesh,Anantapur,2010,Winter,Rice,10400.9,29354.1
West Bengal,Hooghly,2021, Kharif ,Rice,25826.7,87835.9
Madhya Pradesh,Bhopal,2006,Rabi,Wheat,69349.0,253013.1
Karnataka,Bengaluru Rural,2008,Whole Year,Coconut,47332.4,353094.5
Assam,Guwahati,2014, Winter ,Rice,13085.7,33071.8
Karnataka,Belagavi,2005,Kharif,Sunflower,29775.0,26740.4
Tamil Nadu,Madurai,1998,Rabi,Groundnut,8737.3,13012.0
Tamil Nadu,Coimbatore,2019,Autumn,Rice,4044.2,12626.6
Gujarat,Rajkot,1997,Rabi,Onion,7068.2,137484.0
Maharashtra,Pune,2004,Kharif,Soybean,79092.5,77387.6
Karnataka,Belagavi,1997, Kharif ,Onion,14014.9,226258.1
Gujarat,Surat,2013,Whole Year,Banana,76655.2,3000391.2
Maharashtra,Nashik,2021,Whole Year,Banana,52236.9,2691010.2
Gujarat,Surat,2010,Kharif,Cotton,24431.7,14475.2
Andhra Pradesh,Chittoor,2010,Kharif,Rice,9735.8,28451.6
West Bengal,Bardhaman,1998,Kharif,Jute,47463.2,115859.6
Punjab,Amritsar,2009,Rabi,Wheat,47680.6,154152.4
West Bengal,Bardhaman,2019,Rabi,Potato,43735.2,1584464.1
Karnataka,Belagavi,2003,Kharif,Maize,30840.4,87320.2
Tamil Nadu,Coimbatore,2013,Rabi,Groundnut,9136.0,17781.8
Karnataka,Belagavi,2009,Rabi,Groundnut,13557.4,18903.2
Uttar Pradesh,Varanasi,2018,Rabi,Mustard,26015.1,46717.8
Assam,Dibrugarh,2004, Kharif ,Rice,28239.1,68989.6
Maharashtra,Aurangabad,2014,Kharif,Soybean,148585.8,161021.9
West Bengal,Bardhaman,2012,Autumn,Rice,9418.5,28146.4
Madhya Pradesh,Gwalior,2002,Kharif,Maize,38341.3,80909.1
Assam,Guwahati,1997,Autumn,Rice,9270.2,23391.6
Karnataka,Ballari,1999,Rabi,Sunflower,41679.4,28686.4
Maharashtra,Nagpur,2003,Kharif,Jowar,24766.2,23157.9
West Bengal,Hooghly,2009,Kharif,Jute,36297.2,72730.9
Andhra Pradesh,Anantapur,2021,Kharif,Rice,14169.2,42874.5
Gujarat,Rajkot,2016,Rabi,Onion,13729.9,363285.4
Assam,Silchar,2004,Autumn,Rice,8767.3,18031.3
Karnataka,Bengaluru Rural,2010,Kharif,Maize,19774.9,70633.9
Karnataka,Belagavi,2008,Rabi,Maize,29375.1,90930.3
Andhra Pradesh,Chittoor,2021,Winter,Rice,7535.7,24515.3
Tamil Nadu,Coimbatore,1997,Kharif,Rice,8217.3,
Andhra Pradesh,Krishna,2011,Whole Year,Banana,89313.1,3926454.5
Maharashtra,Nashik,1998,Kharif,Cotton,99381.4,52134.3
Karnataka,Bengaluru Rural,2006, Kharif ,Onion,24303.6,
Punjab,Amritsar,2006,Autumn,Rice,4051.1,12325.8
