State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,Yield,Decade
Odisha,Balasore,2014,Winter,Rice,9506.3,23963.8,2.521,2010
Andhra Pradesh,Anantapur,2008,Kharif,Cotton,77352.7,39097.9,0.505,2000
Gujarat,Ahmedabad,2017,Kharif,Tobacco,40873.7,62661.5,1.533,2010
Karnataka,Bengaluru Rural,2006,Rabi,Jowar,7405.7,7306.7,0.987,2000
Andhra Pradesh,Anantapur,2009,Winter,Rice,7995.9,18738.2,2.343,2000
Punjab,Jalandhar,2008,Kharif,Cotton,71741.3,33407.2,0.466,2000
Assam,Guwahati,2009,Winter,Rice,20456.3,56911.4,2.782,2000
Uttar Pradesh,Varanasi,2008,Rabi,Mustard,25946.6,49211.0,1.897,2000
Gujarat,Rajkot,2006,Kharif,Onion,12572.3,246357.7,19.595,2000
Karnataka,Mysuru,2018,Kharif,Maize,33128.7,114579.3,3.459,2010
Assam,Silchar,2019,Autumn,Rice,9191.3,25078.8,2.729,2010
Punjab,Patiala,2007,Rabi,Wheat,51069.2,178105.1,3.488,2000
Tamil Nadu,Salem,2009,Whole Year,Banana,25887.8,960141.0,37.089,2000
Gujarat,Surat,2015,Kharif,Bajra,21364.6,18538.2,0.868,2010
Odisha,Balasore,2016,Autumn,Rice,8476.1,24175.6,2.852,2010
Uttar Pradesh,Meerut,2010,Autumn,Rice,5816.9,16344.1,2.81,2010
Maharashtra,Kolhapur,2016,Kharif,Tur,25002.7,21808.8,0.872,2010
Madhya Pradesh,Gwalior,2020,Kharif,Maize,50183.0,211157.7,4.208,2020
Karnataka,Belagavi,2015,Kharif,Tur,95223.2,64557.3,0.678,2010
Gujarat,Ahmedabad,2001,Rabi,Onion,8273.3,133496.1,16.136,2000
Assam,Silchar,2000,Winter,Rice,18833.9,46279.5,2.457,2000
Maharashtra,Aurangabad,2001,Rabi,Jowar,47360.2,45921.7,0.97,2000
Haryana,Karnal,1999,Rabi,Mustard,69930.9,92878.3,1.328,1990
Karnataka,Bengaluru Rural,2012,Rabi,Onion,14883.4,341742.3,22.961,2010
Madhya Pradesh,Indore,2019,Rabi,Gram,69495.6,75917.9,1.092,2010
Bihar,Patna,2018,Autumn,Rice,10751.4,32601.6,3.032,2010
Punjab,Amritsar,2014,Winter,Rice,7754.2,17603.5,2.27,2010
Assam,Guwahati,2017,Kharif,Jute,96773.8,191675.9,1.981,2010
Andhra Pradesh,Krishna,2017,Rabi,Groundnut,21332.0,36419.6,1.707,2010
Andhra Pradesh,Krishna,1998,Rabi,Sunflower,15906.4,15488.6,0.974,1990
Uttar Pradesh,Kanpur,2019,Whole Year,Sugarcane,63087.3,5478958.5,86.847,2010
Haryana,Rohtak,2005,Rabi,Wheat,22943.7,76910.7,3.352,2000
West Bengal,Hooghly,2017,Rabi,Potato,57455.4,1775193.0,30.897,2010
Bihar,Muzaffarpur,1998,Rabi,Potato,59281.6,1159006.2,19.551,1990
Andhra Pradesh,Anantapur,2020,Rabi,Groundnut,18396.0,30132.9,1.638,2020
Gujarat,Vadodara,2021,Kharif,Bajra,21245.5,27613.4,1.3,2020
Karnataka,Bengaluru Rural,2016,Whole Year,Coconut,51247.6,565048.6,11.026,2010
Karnataka,Belagavi,2006,Rabi,Maize,26145.5,82185.6,3.143,2000
Andhra Pradesh,Chittoor,2015,Winter,Rice,9562.6,25828.2,2.701,2010
Uttar Pradesh,Kanpur,2012,Rabi,Wheat,78855.3,309711.5,3.928,2010
Karnataka,Bengaluru Rural,2010,Rabi,Maize,29106.8,97238.7,3.341,2010
Rajasthan,Jaipur,2013,Rabi,Mustard,45003.2,63175.2,1.404,2010
Rajasthan,Bikaner,2013,Rabi,Wheat,78173.4,253817.2,3.247,2010
Tamil Nadu,Thanjavur,2021,Winter,Rice,4078.4,12213.2,2.995,2020
Bihar,Patna,2011,Rabi,Potato,91600.5,2769630.7,30.236,2010
Odisha,Balasore,2014,Kharif,Rice,20938.0,58961.0,2.816,2010
Andhra Pradesh,Guntur,2012,Kharif,Maize,52534.5,174956.4,3.33,2010
Rajasthan,Jaipur,1999,Rabi,Barley,20640.2,52460.8,2.542,1990
Bihar,Bhagalpur,1998,Kharif,Rice,29337.3,76591.1,2.611,1990
Madhya Pradesh,Indore,2015,Kharif,Maize,35887.9,108148.4,3.014,2010
Karnataka,Belagavi,2007,Kharif,Groundnut,10500.8,14206.6,1.353,2000
Andhra Pradesh,Chittoor,1998,Whole Year,Banana,52651.7,1882260.6,35.749,1990
Rajasthan,Jaipur,1998,Rabi,Wheat,53032.3,169384.3,3.194,1990
Uttar Pradesh,Lucknow,2020,Winter,Rice,12371.2,33933.4,2.743,2020
Kerala,Kottayam,2012,Whole Year,Coconut,84539.7,874575.1,10.345,2010
Karnataka,Bengaluru Rural,2017,Kharif,Jowar,9319.7,8259.6,0.886,2010
Rajasthan,Kota,2003,Rabi,Mustard,44663.8,67522.8,1.512,2000
Haryana,Karnal,2005,Kharif,Bajra,76145.2,83443.2,1.096,2000
Tamil Nadu,Thanjavur,2003,Kharif,Groundnut,8103.9,10953.3,1.352,2000
Madhya Pradesh,Indore,2013,Kharif,Soybean,38077.1,58153.6,1.527,2010
Haryana,Rohtak,2019,Rabi,Wheat,25415.9,90232.6,3.55,2010
Uttar Pradesh,Varanasi,2019,Rabi,Mustard,31271.1,44177.60789542903,1.413,2010
Andhra Pradesh,Chittoor,1998,Kharif,Tobacco,86290.8,133775.6,1.55,1990
Gujarat,Ahmedabad,2002,Kharif,Groundnut,23811.4,28770.3,1.208,2000
West Bengal,Murshidabad,2019,Autumn,Rice,13279.1,46098.1,3.471,2010
Rajasthan,Kota,2005,Rabi,Mustard,46090.1,61876.1,1.343,2000
Karnataka,Ballari,2020,Kharif,Groundnut,14967.7,26918.1,1.798,2020
Andhra Pradesh,Krishna,2020,Kharif,Maize,37093.5,95497.7,2.575,2020
Karnataka,Belagavi,2021,Kharif,Sunflower,39965.2,25434.9,0.636,2020
Tamil Nadu,Thanjavur,2003,Rabi,Groundnut,6627.4,9412.3,1.42,2000
Maharashtra,Kolhapur,2008,Whole Year,Sugarcane,21208.9,1599988.1,75.439,2000
Karnataka,Bengaluru Rural,2001,Rabi,Jowar,15500.9,15230.3,0.983,2000
Tamil Nadu,Thanjavur,2011,Whole Year,Coconut,48110.9,413332.0,8.591,2010
Gujarat,Rajkot,2000,Kharif,Onion,12472.4,226860.0,18.189,2000
Maharashtra,Aurangabad,2017,Whole Year,Banana,41099.8,1810324.8,44.047,2010
Rajasthan,Bikaner,2013,Rabi,Barley,19214.1,48909.0,2.545,2010
Uttar Pradesh,Meerut,2003,Rabi,Gram,17362.1,18467.1,1.064,2000
Bihar,Gaya,1999,Kharif,Rice,24658.4,56974.2,2.311,1990
Maharashtra,Pune,2004,Kharif,Soybean,79092.5,77387.6,0.978,2000
Odisha,Cuttack,1997,Kharif,Rice,16086.1,38485.1,2.392,1990
Karnataka,Ballari,2001,Rabi,Maize,23615.7,60311.8,2.554,2000
Odisha,Sambalpur,2010,Autumn,Rice,8007.0,23881.7,2.983,2010
Bihar,Patna,2008,Winter,Rice,20169.8,60083.0,2.979,2000
Kerala,Thrissur,2021,Whole Year,Coconut,87658.2,998444.9,11.39,2020
Assam,Guwahati,2008,Winter,Rice,16830.4,42362.9,2.517,2000
Karnataka,Ballari,2013,Whole Year,Coconut,74909.1,701418.6,9.364,2010
Tamil Nadu,Coimbatore,1999,Whole Year,Banana,24188.0,924307.2,38.213,1990
Maharashtra,Nagpur,2011,Rabi,Jowar,30335.4,27453.8,0.905,2010
Andhra Pradesh,Chittoor,2013,Kharif,Tobacco,71184.9,90903.9,1.277,2010
Andhra Pradesh,Anantapur,2016,Autumn,Rice,4341.3,10593.0,2.44,2010
Rajasthan,Jaipur,2003,Rabi,Gram,90237.0,102192.8,1.132,2000
West Bengal,Nadia,1999,Rabi,Potato,41204.4,1222633.8,29.672,1990
Andhra Pradesh,Krishna,2016,Kharif,Sunflower,8386.6,6166.7,0.735,2010
Punjab,Ludhiana,2013,Kharif,Cotton,79899.9,38740.8,0.485,2010
Rajasthan,Kota,1999,Kharif,Soybean,42618.3,51465.2,1.208,1990
Karnataka,Bengaluru Rural,2018,Kharif,Tur,105709.9,111143.9,1.051,2010
Maharashtra,Nagpur,2018,Whole Year,Banana,53995.7,2606130.8,48.266,2010
Assam,Dibrugarh,2020,Winter,Rice,25515.5,78015.8,3.058,2020
Uttar Pradesh,Meerut,2005,Winter,Rice,6915.6,21271.4,3.076,2000
Tamil Nadu,Thanjavur,2013,Kharif,Groundnut,7014.0,9926.8,1.415,2010
Bihar,Patna,2007,Kharif,Maize,38834.8,140404.3,3.615,2000
Karnataka,Belagavi,1999,Kharif,Tobacco,55409.2,110114.5,1.987,1990
Karnataka,Mysuru,2021,Kharif,Maize,39577.6,162851.7,4.115,2020
Maharashtra,Pune,2000,Rabi,Onion,56289.8,1127092.6,20.023,2000
Bihar,Gaya,1997,Winter,Rice,13111.9,40915.0,3.12,1990
Bihar,Patna,2011,Kharif,Maize,41878.0,153006.7,3.654,2010
Andhra Pradesh,Anantapur,2007,Rabi,Sunflower,13957.3,9680.6,0.694,2000
Tamil Nadu,Madurai,1997,Autumn,Rice,3095.8,8978.2,2.9,1990
Tamil Nadu,Salem,2003,Whole Year,Banana,43161.2,1618783.5,37.506,2000
Maharashtra,Nagpur,2008,Kharif,Cotton,109508.1,60300.3,0.551,2000
Bihar,Bhagalpur,2011,Rabi,Maize,36459.7,88772.1,2.435,2010
Tamil Nadu,Madurai,2009,Kharif,Rice,7701.2,21661.1,2.813,2000
Uttar Pradesh,Varanasi,2011,Whole Year,Sugarcane,83911.2,6214718.4,74.063,2010
Odisha,Puri,2019,Kharif,Jute,64673.0,129071.4,1.996,2010
Uttar Pradesh,Kanpur,1998,Kharif,Bajra,31916.2,40180.6,1.259,1990
Karnataka,Ballari,2011,Kharif,Sunflower,34758.5,25757.3,0.741,2010
Maharashtra,Aurangabad,2004,Kharif,Cotton,71334.2,28657.6,0.402,2000
Maharashtra,Nagpur,2002,Kharif,Tur,34033.2,22726.0,0.668,2000
Tamil Nadu,Madurai,2015,Winter,Rice,5485.8,12519.8,2.282,2010
Maharashtra,Aurangabad,1998,Kharif,Soybean,74266.0,73763.1,0.993,1990
Odisha,Cuttack,2018,Kharif,Jute,57706.7,123538.1,2.141,2010
Gujarat,Rajkot,2005,Kharif,Bajra,23194.3,28444.6,1.226,2000
Madhya Pradesh,Gwalior,2004,Rabi,Maize,35274.0,112370.7,3.186,2000
Maharashtra,Pune,2002,Whole Year,Banana,38114.7,1040052.6,27.287,2000
Odisha,Cuttack,2014,Autumn,Rice,8757.0,19915.3,2.274,2010
Madhya Pradesh,Bhopal,2008,Rabi,Maize,23677.3,67031.8,2.831,2000
Odisha,Puri,2015,Autumn,Rice,8583.9,18863.1,2.197,2010
Andhra Pradesh,Guntur,1997,Autumn,Rice,4791.8,12021.8,2.509,1990
Assam,Silchar,2017,Winter,Rice,16293.3,45724.5,2.806,2010
Odisha,Balasore,2000,Kharif,Jute,52304.2,114306.1,2.185,2000
Uttar Pradesh,Kanpur,1999,Kharif,Bajra,36285.9,43764.0,1.206,1990
Karnataka,Bengaluru Rural,2015,Rabi,Onion,32309.5,592120.0,18.326,2010
Andhra Pradesh,Krishna,2003,Kharif,Rice,11265.2,31439.697319125047,2.791,2000
Haryana,Panipat,2008,Kharif,Bajra,60308.9,81958.9,1.359,2000
Karnataka,Bengaluru Rural,1999,Kharif,Maize,31022.7,94424.2,3.044,1990
Bihar,Gaya,1999,Kharif,Maize,30322.9,93566.6,3.086,1990
Karnataka,Mysuru,2015,Kharif,Sunflower,29948.5,18008.3,0.601,2010
Andhra Pradesh,Chittoor,2005,Rabi,Maize,38242.2,126197.6,3.3,2000
Andhra Pradesh,Anantapur,2013,Rabi,Sunflower,10735.9,9122.2,0.85,2010
Gujarat,Rajkot,2001,Kharif,Groundnut,23622.5,29970.7,1.269,2000
Punjab,Jalandhar,2012,Kharif,Rice,15052.5,47306.2,3.143,2010
Madhya Pradesh,Bhopal,2012,Rabi,Wheat,123297.6,558660.0,4.531,2010
Maharashtra,Aurangabad,2008,Kharif,Onion,66810.4,1160850.4,17.375,2000
Maharashtra,Kolhapur,2018,Kharif,Soybean,131144.3,212052.9,1.617,2010
Punjab,Jalandhar,1997,Autumn,Rice,6698.7,17000.5,2.538,1990
Karnataka,Bengaluru Rural,2014,Kharif,Tobacco,58665.8,80811.1,1.377,2010
Karnataka,Belagavi,2018,Kharif,Tobacco,51314.5,67373.6,1.313,2010
Assam,Dibrugarh,2006,Kharif,Jute,57383.1,141862.5,2.472,2000
Andhra Pradesh,Chittoor,2007,Rabi,Groundnut,13627.5,20766.2,1.524,2000
Gujarat,Surat,2008,Kharif,Tobacco,40631.9,59380.6,1.461,2000
Haryana,Panipat,2004,Rabi,Mustard,71806.4,100306.4,1.397,2000
Karnataka,Mysuru,2007,Whole Year,Sugarcane,63419.6,4220048.8,66.542,2000
Rajasthan,Jaipur,2008,Rabi,Gram,53611.9,54397.2,1.015,2000
Uttar Pradesh,Lucknow,2001,Rabi,Barley,55376.4,128756.2,2.325,2000
Maharashtra,Aurangabad,2019,Rabi,Onion,79133.6,2487568.3,31.435,2010
Karnataka,Ballari,2000,Rabi,Groundnut,11608.2,16835.8,1.45,2000
Punjab,Patiala,2020,Autumn,Rice,5407.9,14511.5,2.683,2020
Madhya Pradesh,Jabalpur,2008,Kharif,Maize,26717.5,75744.0,2.835,2000
Bihar,Patna,2019,Kharif,Maize,28289.8,101457.2,3.586,2010
Gujarat,Ahmedabad,2001,Rabi,Groundnut,25059.9,27855.1,1.112,2000
Bihar,Muzaffarpur,2019,Rabi,Potato,60606.7,1845828.6,30.456,2010
Uttar Pradesh,Lucknow,2001,Kharif,Tur,31654.4,26099.1,0.825,2000
Punjab,Jalandhar,2012,Rabi,Wheat,54631.3,225669.2,4.131,2010
Uttar Pradesh,Kanpur,2017,Kharif,Rice,21548.8,60139.87764002075,2.791,2010
Karnataka,Ballari,2001,Kharif,Maize,33708.1,93238.1,2.766,2000
Odisha,Balasore,2009,Autumn,Rice,12992.1,31776.8,2.446,2000
Rajasthan,Kota,2000,Rabi,Gram,109285.2,106399.3,0.974,2000
Rajasthan,Bikaner,2020,Kharif,Soybean,83586.9,149483.6,1.788,2020
Kerala,Kottayam,2015,Whole Year,Coconut,88054.1,810724.6,9.207,2010
Uttar Pradesh,Varanasi,1998,Rabi,Mustard,26779.8,39263.1,1.466,1990
Gujarat,Ahmedabad,2000,Kharif,Tobacco,37414.3,64204.9,1.716,2000
Tamil Nadu,Thanjavur,2010,Kharif,Groundnut,6765.6,12257.3,1.812,2010
Madhya Pradesh,Bhopal,2018,Kharif,Soybean,31191.5,56971.4,1.827,2010
Gujarat,Surat,2014,Rabi,Groundnut,39375.0,52253.8,1.327,2010
Rajasthan,Kota,2014,Rabi,Wheat,82992.6,293516.7,3.537,2010
Maharashtra,Kolhapur,2005,Rabi,Jowar,38201.2,38753.7,1.014,2000
Madhya Pradesh,Gwalior,2002,Rabi,Maize,29184.1,77426.9,2.653,2000
Uttar Pradesh,Kanpur,2000,Rabi,Mustard,27623.6,34920.1,1.264,2000
West Bengal,Murshidabad,2008,Winter,Rice,17608.8,41919.5,2.381,2000
Assam,Dibrugarh,1999,Autumn,Rice,12925.0,37436.0,2.896,1990
Karnataka,Belagavi,2009,Rabi,Maize,20190.6,59236.6,2.934,2000
Karnataka,Bengaluru Rural,2016,Whole Year,Sugarcane,95699.6,7650159.2,79.939,2010
Karnataka,Ballari,2013,Rabi,Onion,33062.9,716110.9,21.659,2010
Andhra Pradesh,Krishna,1999,Kharif,Cotton,59753.3,31232.4,0.523,1990
Uttar Pradesh,Meerut,2021,Kharif,Bajra,36467.9,46624.6,1.279,2020
Maharashtra,Nashik,2011,Kharif,Soybean,72291.5,94852.4,1.312,2010
Madhya Pradesh,Indore,2016,Kharif,Maize,46885.9,192557.0,4.107,2010
Haryana,Rohtak,2013,Rabi,Wheat,26091.2,101414.9,3.887,2010
Haryana,Hisar,2018,Kharif,Bajra,66249.7,86550.0,1.306,2010
Uttar Pradesh,Kanpur,2016,Rabi,Wheat,93933.8,348773.3,3.713,2010
Karnataka,Ballari,2010,Kharif,Tobacco,73206.6,114116.4,1.559,2010
Karnataka,Mysuru,2000,Whole Year,Coconut,46182.5,358843.4,7.77,2000
Gujarat,Rajkot,2011,Kharif,Tobacco,72199.1,124377.2,1.723,2010
Assam,Dibrugarh,2018,Winter,Rice,14451.8,46991.9,3.252,2010
Andhra Pradesh,Chittoor,2017,Whole Year,Banana,78085.4,3675291.4,47.068,2010
Tamil Nadu,Coimbatore,2014,Whole Year,Coconut,45602.1,339865.6,7.453,2010
Karnataka,Mysuru,2003,Rabi,Maize,27230.0,67735.5,2.488,2000
Bihar,Bhagalpur,1997,Kharif,Rice,17761.7,42016.8,2.366,1990
Tamil Nadu,Salem,2006,Winter,Rice,5334.3,14970.3,2.806,2000
Punjab,Patiala,2011,Kharif,Rice,12307.4,38764.9,3.15,2010
Madhya Pradesh,Bhopal,2007,Kharif,Jowar,32094.0,29719.0,0.926,2000
Karnataka,Ballari,2017,Rabi,Onion,27208.7,796016.7,29.256,2010
Uttar Pradesh,Meerut,2001,Rabi,Potato,33041.3,910559.8,27.558,2000
Maharashtra,Nagpur,2009,Rabi,Jowar,30800.4,27240.6,0.884,2000
Karnataka,Ballari,1999,Kharif,Jowar,10746.7,10664.9,0.992,1990
Karnataka,Mysuru,2013,Rabi,Sunflower,32535.9,28830.6,0.886,2010
Tamil Nadu,Thanjavur,1997,Rabi,Groundnut,9120.0,13835.8,1.517,1990
Madhya Pradesh,Gwalior,2013,Kharif,Maize,31875.1,111413.6,3.495,2010
Tamil Nadu,Madurai,2017,Whole Year,Banana,47766.8,2297540.0,48.099,2010
Rajasthan,Jodhpur,2010,Rabi,Barley,16610.1,43268.1,2.605,2010
Karnataka,Mysuru,2016,Kharif,Jowar,9020.1,7474.7,0.829,2010
Rajasthan,Jodhpur,1997,Rabi,Gram,78654.0,69785.8,0.887,1990
Rajasthan,Jodhpur,2018,Kharif,Soybean,71836.8,116792.1,1.626,2010
Gujarat,Surat,1998,Kharif,Groundnut,24798.8,38565.0,1.555,1990
Punjab,Patiala,2004,Rabi,Wheat,49745.8,146753.9,2.95,2000
Maharashtra,Nashik,2008,Rabi,Jowar,34243.0,32558.1,0.951,2000
Maharashtra,Nagpur,2014,Kharif,Cotton,86819.9,44536.2,0.513,2010
Madhya Pradesh,Jabalpur,2013,Rabi,Gram,97401.7,114441.4,1.175,2010
Gujarat,Rajkot,2014,Kharif,Tobacco,41250.5,65621.7,1.591,2010
Maharashtra,Nagpur,2019,Rabi,Jowar,29303.1,23986.0,0.819,2010
Karnataka,Ballari,2017,Rabi,Groundnut,17626.6,23713.2,1.345,2010
Andhra Pradesh,Anantapur,2005,Autumn,Rice,5720.9,16816.6,2.94,2000
Haryana,Rohtak,2007,Rabi,Wheat,36055.0,124542.4,3.454,2000
Gujarat,Vadodara,2005,Kharif,Onion,11979.5,264406.6,22.072,2000
Assam,Silchar,2016,Kharif,Rice,28487.3,84236.8,2.957,2010
Uttar Pradesh,Meerut,2020,Rabi,Mustard,23687.7,40187.9,1.697,2020
Karnataka,Ballari,2005,Whole Year,Coconut,85642.0,873963.3,10.205,2000
Punjab,Amritsar,2008,Autumn,Rice,3995.8,13053.0,3.267,2000
Maharashtra,Nashik,2009,Kharif,Soybean,140861.6,193056.1,1.371,2000
Andhra Pradesh,Anantapur,2017,Autumn,Rice,5196.6,14066.4,2.707,2010
Andhra Pradesh,Guntur,1998,Autumn,Rice,4214.8,9852.0,2.337,1990
Bihar,Muzaffarpur,2001,Rabi,Potato,52519.6,1094603.4,20.842,2000
Madhya Pradesh,Gwalior,2000,Rabi,Barley,42732.6,122044.2,2.856,2000
Karnataka,Belagavi,2007,Rabi,Jowar,9494.8,8089.7,0.852,2000
Uttar Pradesh,Meerut,2010,Rabi,Potato,27441.0,894360.8,32.592,2010
Rajasthan,Kota,1998,Rabi,Mustard,25255.6,36315.2,1.438,1990
Uttar Pradesh,Meerut,2013,Winter,Rice,6219.1,22892.9,3.681,2010
Assam,Dibrugarh,2011,Kharif,Jute,69699.3,135668.4,1.946,2010
Karnataka,Ballari,1999,Rabi,Sunflower,41679.4,28686.4,0.688,1990
Karnataka,Belagavi,2003,Rabi,Groundnut,10714.3,15706.9,1.466,2000
Andhra Pradesh,Krishna,2015,Rabi,Groundnut,18756.7,27408.5,1.461,2010
Assam,Dibrugarh,2009,Autumn,Rice,9217.0,22229.5,2.412,2000
Rajasthan,Jaipur,2004,Rabi,Gram,87324.4,90694.6,1.039,2000
Madhya Pradesh,Gwalior,2007,Kharif,Maize,46737.8,145037.9,3.103,2000
Kerala,Thrissur,2020,Whole Year,Coconut,78990.6,776494.4,9.83,2020
Karnataka,Ballari,2010,Kharif,Tur,59863.1,51188.7,0.855,2010
Odisha,Cuttack,2001,Kharif,Jute,44842.8,87047.5,1.941,2000
Andhra Pradesh,Guntur,2006,Autumn,Rice,6207.0,17277.4,2.784,2000
Bihar,Gaya,2013,Kharif,Maize,29330.6,97684.9,3.33,2010
Odisha,Balasore,2008,Kharif,Jute,72668.3,205743.3,2.831,2000
Tamil Nadu,Thanjavur,2000,Whole Year,Coconut,54586.0,559907.9,10.257,2000
Punjab,Ludhiana,2021,Kharif,Cotton,131042.3,88165.1,0.673,2020
Andhra Pradesh,Krishna,2007,Whole Year,Banana,97410.1,4061571.1,41.696,2000
Odisha,Sambalpur,2011,Winter,Rice,13560.3,41354.6,3.05,2010
Madhya Pradesh,Jabalpur,2006,Rabi,Barley,30170.3,70645.0,2.342,2000
Karnataka,Bengaluru Rural,2018,Rabi,Jowar,14364.3,12716.7,0.885,2010
Uttar Pradesh,Varanasi,2007,Whole Year,Sugarcane,83184.7,6256515.2,75.212,2000
Gujarat,Rajkot,2015,Rabi,Onion,19618.9,370366.3,18.878,2010
Bihar,Muzaffarpur,2002,Rabi,Maize,22779.4,46132.3,2.025,2000
Karnataka,Mysuru,2013,Kharif,Groundnut,16104.4,18292.8,1.136,2010
Karnataka,Bengaluru Rural,2005,Kharif,Tur,79273.8,80901.8,1.021,2000
